OBJECT,MJD,RV,HALPHA_INDEX,ERR_HALPHA_INDEX,S_INDEX,ERR_SINDEX,logRHK_INDEX,ERR_logRHK_INDEX,NAI_INDEX,ERR_NAI_INDEX,SHIFT_BARICENTRO_HALPHA,ERR_SHIFT_BAR_HALPHA,SHIFT_BARICENTRO_K,ERR_SHIFT_BAR_K,SHIFT_BARICENTRO_H,ERR_SHIFT_BAR_H,ERR_SHIFT_BAR_D2,ERR_SHIFT_BAR_D2_2,SHIFT_BARICENTRO_D1_2,ERR_SHIFT_BAR_D1_2,MEAN_SLOPE_HALPHA,SIGMA_SLOPE_HALPHA,MEAN_SLOPE_K,SIGMA_SLOPE_K,MEAN_SLOPE_H,SIGMA_SLOPE_H,MEAN_SLOPE_D2,SIGMA_SLOPE_D2,MEAN_SLOPE_D1,SIGMA_SLOPE_D1,DISK_PRESENCE,STy
Gl581,54647.976,-9.74,-0.011587,1.05E-4,0.012889,0.072657,-6.301069,9.457209,0.06707,0.05667,-1.704417,0.222875,0.227601,1.209769,1.082797,0.93863,1.018008,0.23854,-0.095538,0.135376,2.941568,0.588657,-1.519798,5.1487,-10.132236,2.060197,-0.376682,1.657175,5.770469,2.418507,1,63.0
Gl581,55629.375,-9.74,-0.012272,1.18E-4,0.01596,0.05861,-6.096377,5.133354,0.075939,0.021316,-0.891114,0.220315,0.319163,0.799158,0.331785,0.764122,0.777306,0.327708,-0.206422,0.42183,2.536499,0.576192,11.453202,12.461351,-26.251243,42.58345,1.536551,2.828263,5.20649,5.782655,1,63.0
Gl581,55309.255,-9.74,-0.011674,1.17E-4,0.014385,0.058817,-6.245189,7.151163,0.073452,0.02923,-0.803184,0.225401,1.298186,1.01662,0.358525,0.916251,0.168186,0.326509,-0.088327,0.218283,2.546832,0.547272,6.18028,8.787298,-23.883927,2.10979,4.748412,1.345951,7.739612,4.163722,1,63.0
Gl581,54228.231,-9.73,-0.01262,1.34E-4,0.017975,0.059684,-5.894479,3.359247,0.070975,0.033083,-0.991571,0.255597,-1.241242,0.938749,0.752788,0.78991,1.588404,0.233718,-0.159073,0.299294,3.390739,0.607871,36.221525,47.121127,-36.034854,6.565682,-1.02692,0.397928,4.834965,1.902859,1,63.0
Gl581,53867.241,-9.75,-0.013301,1.17E-4,0.018086,0.068626,-6.036356,4.955129,0.083705,0.036177,-1.045977,0.196433,-0.173364,0.676179,1.375371,0.680632,0.777098,0.32055,-0.225417,0.163381,2.241907,0.403918,16.539143,12.063629,-8.292889,4.894136,0.156866,0.945565,4.505151,2.340937,1,63.0
Gl581,55652.33,-9.75,-0.011174,1.27E-4,0.014713,0.057353,-6.084867,5.09427,0.066143,0.030525,-1.160328,0.274286,0.437554,0.749944,0.325077,0.871559,1.667692,0.231407,-0.090111,0.260073,2.108911,0.354729,-1.024901,23.666971,-21.10493,7.646981,2.646106,1.124452,8.947148,3.01897,1,63.0
Gl581,53757.374,-9.74,-0.011239,1.37E-4,0.017413,0.065581,-5.934485,3.830259,0.063526,0.058294,-1.188981,0.279004,-0.403839,0.692249,0.04429,0.95363,0.143649,0.375711,-0.14859,0.317528,2.374615,0.401337,45.144758,16.670157,-75.012387,13.07189,2.433334,2.015519,12.937663,3.429902,1,63.0
Gl581,54230.251,-9.75,-0.012718,9.3E-5,0.017166,0.065173,-5.917512,3.425108,0.079748,0.019439,-0.899822,0.208169,1.039611,0.893297,0.541306,0.725049,0.058289,0.308058,-0.170615,0.24377,2.796372,0.380352,25.826065,9.993281,-40.364928,5.132477,-1.750568,1.14365,10.252274,1.901521,1,63.0
Gl581,55633.33,-9.75,-0.012988,9.5E-5,0.015883,0.058717,-6.028403,4.227521,0.077679,0.049679,-0.678565,0.148752,-0.172192,0.693813,0.87334,1.02204,0.413305,0.497558,-0.184332,0.22511,3.053624,0.409698,20.000373,28.253519,-8.983198,6.842381,4.33809,0.967761,2.548279,1.831918,1,63.0
Gl581,54254.148,-9.75,-0.012799,1.29E-4,0.016238,0.056738,-6.154697,6.356304,0.08076,0.026484,-0.735707,0.250356,2.265522,0.635197,0.74969,0.770677,1.713497,0.286562,-0.373153,0.42368,2.213593,0.368367,61.752708,27.990937,-3.25278,7.735388,0.915028,0.174493,3.286121,3.06213,1,63.0
Gl581,55227.337,-9.74,-0.011931,1.12E-4,0.024078,0.054068,-5.643998,1.883384,0.076517,0.036445,-0.397692,0.255936,0.466279,0.859398,-0.03778,0.91981,0.533868,0.452477,-0.086966,0.215345,3.071606,0.356575,15.975081,13.249164,-23.942612,12.989479,1.648408,1.692913,9.890097,2.501046,1,63.0
Gl581,55644.364,-9.75,-0.012037,1.09E-4,0.013448,0.065682,-6.271638,9.27762,0.06473,0.037241,-1.088685,0.177919,2.152257,1.278281,-0.182479,0.956425,2.270876,0.375336,-0.085378,0.184228,2.283155,0.351288,12.152451,8.962051,-20.59294,4.0615,15.746999,2.879846,2.210075,2.633146,1,63.0
Gl581,53607.004,-9.73,-0.013188,1.07E-4,0.020885,0.057883,-5.847741,3.290147,0.070847,0.022815,-1.394422,0.170263,1.301167,0.918079,1.013035,0.761323,0.950711,0.400261,-0.110571,0.280312,3.506462,0.683137,-35.93567,24.452906,-22.997324,10.314879,0.832536,0.915243,6.55542,3.133208,1,63.0
Gl581,55282.356,-9.74,-0.011112,1.36E-4,0.017604,0.05963,-5.863371,3.325211,0.083537,0.056096,-1.488245,0.278355,-0.355439,1.074889,1.251358,0.729904,1.36656,0.221434,-0.068724,0.351239,2.380177,0.3962,,,-13.306177,6.411541,1.27088,1.43107,5.62674,4.821901,1,63.0
Gl581,55657.256,-9.73,-0.011582,1.69E-4,0.013607,0.075123,-6.305708,9.302643,0.068091,0.031572,-1.599581,0.303942,-0.118511,0.998413,0.373988,1.218486,1.624205,0.168137,0.053422,0.271168,2.688948,0.575365,-17.916341,4.557085,15.744279,8.236315,1.505576,0.796943,5.594888,3.233191,1,63.0
Gl581,54166.367,-9.77,-0.010398,1.19E-4,0.015136,0.070023,-6.026193,4.375012,0.069386,0.050971,-1.125752,0.299572,1.410127,0.977221,1.450138,0.85515,0.45281,0.255863,-0.123037,0.113549,2.481467,0.380956,,,14.212746,3.847829,2.601954,1.224019,5.404373,2.982697,1,63.0
Gl581,53830.327,-9.75,-0.014818,1.01E-4,0.022894,0.055712,-5.725809,2.298605,0.074422,0.046632,-0.720633,0.165339,0.532397,0.834736,0.207898,0.669716,0.123893,0.365934,-0.061225,0.440345,1.672421,0.568404,-21.250769,37.911719,-91.903634,26.551306,1.569036,1.603087,6.123919,2.492498,1,63.0
Gl581,55434.983,-9.76,-0.010381,1.15E-4,0.012157,0.070443,-6.344971,9.655092,0.072699,0.015187,-1.268428,0.253904,-2.227273,1.152743,0.266848,1.041267,0.681799,0.263419,-0.120662,0.363803,1.983313,0.299197,-28.081506,4.135697,,,-0.361545,1.514216,20.281491,2.843149,1,63.0
Gl581,54707.976,-9.75,-0.011815,1.41E-4,0.016347,0.037691,-5.879279,3.064448,0.076831,0.027612,-0.966195,0.277228,-0.693118,0.751408,-0.13525,0.77424,0.569202,0.136485,-0.201861,0.322876,2.770218,0.320972,1.792329,5.731908,-5.885374,5.554532,4.203114,1.776232,7.615904,2.597159,1,63.0
Gl581,55630.382,-9.73,-0.011991,1.32E-4,0.015273,0.054473,-6.067683,4.956299,0.070809,0.034627,-1.13335,0.238885,0.679423,0.837039,0.796862,0.827952,0.128691,0.414667,-0.009366,0.321257,2.842743,0.406626,10.239946,7.73912,-1.113948,4.479029,3.849516,2.33645,5.4524,1.741723,1,63.0
Gl581,54955.282,-9.75,-0.011278,1.09E-4,0.023062,0.05802,-5.700635,2.432354,0.079462,0.031549,-1.195937,0.262874,0.039254,0.675357,0.231632,0.783909,0.23343,0.347041,0.126127,0.532814,1.848728,0.376117,39.234825,29.644144,-62.248147,14.617906,-2.488949,0.173196,-3.595977,1.589865,1,63.0
Gl581,53574.974,-9.75,-0.013902,1.46E-4,0.020031,0.052002,-5.857891,2.781677,0.07782,0.033178,-0.94944,0.244898,0.777824,0.791437,0.607825,0.616667,0.320236,0.162137,-0.136512,0.266946,3.876642,0.651237,1.064644,12.864283,-60.572269,32.121903,6.913096,0.764553,5.628457,2.298914,1,63.0
Gl581,53945.036,-9.74,-0.013065,1.03E-4,0.017059,0.057688,-5.952302,3.757525,0.074322,0.031194,-1.279303,0.167679,0.526608,0.74739,-0.508384,0.806431,0.199124,0.269427,-0.189831,0.392649,2.886787,0.376765,-2.48609,5.959022,-4.300295,2.14164,8.187039,1.489105,11.188256,2.396137,1,63.0
